Club	Crew	Day	Mens/Ladies	Position
99	99	Final	Men	5
99	99 2	Final	Men	13
99	99 3	Final	Men	14
99	99 4	Final	Men	28
99	99 5	Final	Men	43
99	99 6	Final	Men	45
99	99 7	Final	Men	49
Camb Vets	Camb Vets	Final	Men	58
Cantabs	Cantabs	Final	Men	1
Cantabs	Cantabs 10	Final	Men	47
Cantabs	Cantabs 11	Final	Men	54
Cantabs	Cantabs 12	Final	Men	55
Cantabs	Cantabs 13	Final	Men	57
Cantabs	Cantabs 14	Final	Men	56
Cantabs	Cantabs 15	Final	Men	61
Cantabs	Cantabs 2	Final	Men	8
Cantabs	Cantabs 3	Final	Men	11
Cantabs	Cantabs 4	Final	Men	12
Cantabs	Cantabs 5	Final	Men	22
Cantabs	Cantabs 6	Final	Men	30
Cantabs	Cantabs 7	Final	Men	33
Cantabs	Cantabs 8	Final	Men	37
Cantabs	Cantabs 9	Final	Men	48
Champs	Champs	Final	Men	18
Champs	Champs 2	Final	Men	25
Champs	Champs 3	Final	Men	36
Champs	Champs 4	Final	Men	38
Champs	Champs 5	Final	Men	44
Champs	Champs 6	Final	Men	46
Chesterton	Chesterton	Final	Men	9
Chesterton	Chesterton 2	Final	Men	34
Chesterton	Chesterton 3	Final	Men	50
City	City	Final	Men	7
City	City 10	Final	Men	40
City	City 11	Final	Men	41
City	City 12	Final	Men	59
City	City 2	Final	Men	10
City	City 3	Final	Men	17
City	City 4	Final	Men	21
City	City 5	Final	Men	16
City	City 6	Final	Men	19
City	City 7	Final	Men	27
City	City 8	Final	Men	32
City	City 9	Final	Men	35
Isle of Ely	Isle of Ely	Final	Men	39
Radegund	Radegund	Final	Men	29
Radegund	Radegund 2	Final	Men	42
Rob Roy	Rob Roy	Final	Men	2
Rob Roy	Rob Roy 2	Final	Men	4
Rob Roy	Rob Roy 3	Final	Men	15
Rob Roy	Rob Roy 4	Final	Men	24
St Neots	St Neots	Final	Men	3
St Neots	St Neots 2	Final	Men	26
Xpress	X-Press	Final	Men	6
Xpress	X-Press 2	Final	Men	20
Xpress	X-Press 3	Final	Men	23
Xpress	X-Press 4	Final	Men	31
Xpress	X-press 5	Final	Men	51
Xpress	X-Press 6	Final	Men	52
Xpress	X-Press 7	Final	Men	53
Xpress	X-Press 8	Final	Men	60
99	99	Fri	Men	5
